"","text","page","method"
"1","                       DARLINGTON (56)",100,"adobe"
"2","Election   Electors   Candidate          Party   Vot•",100,"adobe"
"3","1868       3,057      E. Backhouse       L       1,789",100,"adobe"
"4","                      H.K. Spark         L         875",100,"adobe"
"5","1874       4 ,073     E. Backhouse       L       1,626",100,"adobe"
"6","                      H.K. Spark         L       1,fJJ)7",100,"adobe"
"7","                      T.G. Bowles        C        305",100,"adobe"
"8","1880       4.966      T. Fry             L       2,772",100,"adobe"
"9","                      H.K. Spark         L       1,331",100,"adobe"
"10","                                   102",100,"adobe"
"11","",100,"adobe"
"12","                                           DARTMOUTH(57)",101,"adobe"
"13","Election             Elec:tora           Candidate                                   Party        Votn",101,"adobe"
"14","1832                 243                 J.H . Seale                                 L            Unopp.",101,"adobe"
"15","1835                 240                 J.H. Seale                                  L            Unopp .",101,"adobe"
"16","1837                 257                 J .H. Seale                                 L            Unopp .",101,"adobe"
"17","1841                 276                 Sir J.H. Seale , Bt .                       L            Unopp .",101,"adobe"
"18","[Deeth)",101,"adobe"
"19","1844                 292•                J . Somes                                   C            125",101,"adobe"
"20","(27/121                                  G. Moffatt                                  L            118",101,"adobe"
"21","[Death)",101,"adobe"
"22","1846                 2e2•                G . Moffatt                                 L            125",101,"adobe"
"23","(3/71                                    H.T . Prinsep                               C            111",101,"adobe"
"24","1847                 376                 G . Moffatt                                 L            Unopp.",101,"adobe"
"25","1852                 302                 Sir T . Herbert                             C            146",101,"adobe"
"26","                                         W .S. Lindsay                               L            135",101,"adobe"
"27","1857                 269                 J. Caird                                    L            127",101,"adobe"
"28","                                         C.S. Hayne                                  L             94",101,"adobe"
"29","1859                 257                 E.W.H. Schenley                             L            123",101,"adobe"
"30","                                         Sir T. Herbert                              C            116",101,"adobe"
"31","[Election declared void on petition)",101,"adobe"
"32","1859                                     J. Dunn                                     C            Unopp .",101,"adobe"
"33","(8/8)",101,"adobe"
"34","(Deeth)",101,"adobe"
"35","1860                 246                 J . Hardy                                   C            112",101,"adobe"
"36","(3/11)                                   C.S. Hayne                                  L            110",101,"adobe"
"37","1865                 282                 J. Hardy                                    C            Unopp.",101,"adobe"
"38","               This conttltuency ceated to return a Member of Parliament In 1868 and was incorporated",101,"adobe"
"39","               Into the county constituency of Oe110n,Southern .",101,"adobe"
"40","Petitions: -",101,"adobe"
"41","       1844 :        Di1tni-d",101,"adobe"
"42","       1852:         Olsmiaed",101,"adobe"
"43","        1859:         Vold election",101,"adobe"
"44","                                                         103",101,"adobe"
"45","",101,"adobe"
"46","                                                DERBY (58)",102,"adobe"
"47","                                                 (Two Seats)",102,"adobe"
"48","Election         Electors                C.ndldata                P.-ty   Vota",102,"adobe"
"49","1832             1,384                  tE. Strutt                L        884",102,"adobe"
"50","                                        tH.F.C. Cavendish         L        716",102,"adobe"
"51","                                         Sir C. Colvile           C        430",102,"adobe"
"52","1835             1,478                   E. Strutt                L        903",102,"adobe"
"53","                                         Hon . J.G.B. Ponsonby    L        724",102,"adobe"
"54","                                         Hon . F. Curzon          C        625",102,"adobe"
"55","1837             1,751                   E, Strutt                L        836",102,"adobe"
"56","                                         Hon. J.G.8. Ponsonby     L        791",102,"adobe"
"57","                                         Hon. F. Curzon           C        525",102,"adobe"
"58","                                         C.R. Colvile-            C        456",102,"adobe"
"59","1841             1,906                   E. Strutt                L        875",102,"adobe"
"60","                                         Hon . J.G.B. Ponsonby    L        784",102,"adobe"
"61","                                          (Vi1count Dunc•nnon)",102,"adobe"
"62","                                         E.S.C. Pole              C        587",102,"adobe"
"63","[Appointment of Strutt as Chief Commiuioner of Railways)",102,"adobe"
"64","1846             2,022·                  E. Strutt                L        835",102,"adobe"
"65","(4/9)                                    Sir D. Mackworth, Bt .   C        559",102,"adobe"
"66","[Succession of Duncannon to the PNrage- Earl of Beuborough)",102,"adobe"
"67","1847                                     Hon. E.F .L. Gower       L       Unopp.",102,"adobe"
"68","(16/6)",102,"adobe"
"69","1847             2,177                   E. Strutt                L        881",102,"adobe"
"70","                                         Hon . E.F.L.Gower        L        852",102,"adobe"
"71","                                         H. Raikes                C        820",102,"adobe"
"72","                                         P. McGrath               Ch       216",102,"adobe"
"73","[Election declared void on petition)",102,"adobe"
"74","1848             2,177                   M.T . Bau                L        956",102,"adobe"
"75","(2/9)                                    L. Heyworth              L        912",102,"adobe"
"76","                                         J .W. Freshfield         C        778",102,"adobe"
"77","                                         J . lord                 C        760",102,"adobe"
"78","1852             2,448                     M .T. B•s              L       1,252",102,"adobe"
"79","                                       • ""T .8. Horsfall          C       1.025",102,"adobe"
"80","                                         • L . Heyworth           L       1.018",102,"adobe"
"81","1857             2,479                   M.T. Bass                L        884",102,"adobe"
"82","                                         S. Beale                 L        846",102,"adobe"
"83","                                         W .F . Mackenzie         C        430",102,"adobe"
"84","1859             2,513                   M.T.Baa                  L       1.260",102,"adobe"
"85","                                         S. Beale                 L        902",102,"adobe"
"86","                                         W.M.James                L         736",102,"adobe"
"87","                                         H.C. Raikes              C         648",102,"adobe"
"88","                                                           104",102,"adobe"
"89","",102,"adobe"
"90","                                            DERBY [58) (Cont.)",103,"adobe"
"91","                                                     (Two Seats)",103,"adobe"
"92","Election           Ellc:ton                Ca,didata                                          Party           Vot•",103,"adobe"
"93","1866               2,450                   W.T. Cox                                           C               1,096",103,"adobe"
"94","                                           M.T.e ..                                           L               1.()63",103,"adobe"
"95","                                           S. Plimsoll                                        L                 891",103,"adobe"
"96","                                           S. Beale                                           L                 608",103,"adobe"
"97","1868               9,777t                  M.T. Baa                                           L               4.995",103,"adobe"
"98","                                           S. Plimsoll                                        L               4,677",103,"adobe"
"99","                                           W.T. Cox                                           C               2,492",103,"adobe"
"100","1874              11,316                   M.T. Bass                                          L               5,579",103,"adobe"
"101","                                           S. Plimsoll                                        L               4,938",103,"adobe"
"102","                                           W.T. Cox                                           C               3,642",103,"adobe"
"103","1880              13,006                   M.T. Baa                                           L               8,864",103,"adobe"
"104","                                           S. Plimsoll                                        L               7,758",103,"adobe"
"105","                                           T. Collins                                         C               2 ,730",103,"adobe"
"106","(Rasignation of Plimsoll)",103,"adobe"
"107","1880                                       Sir W.G.G.V.V . Harcourt                           L               Unopp.",103,"adobe"
"108","126/51",103,"adobe"
"109","(R•ignation     of Bass)",103,"adobe"
"110","1883                                       T . Roe                                            L               Unopp.",103,"adobe"
"111","112/61",103,"adobe"
"112","Petltloni:-",103,"adobe"
"113","       1847:       Vold election",103,"adobe"
"114","       1852 :      Election   of Horsfall declared   void . Heyworth   duly elected   after scrutiny . Petition",103,"adobe"
"115","                   against Bau dl1mlsled",103,"adobe"
"116","                                                         105",103,"adobe"
"117","",103,"adobe"
"118","                                          DEVIZES (59)",104,"adobe"
"119","                             (Two seats until 1868; one seat from 1868)",104,"adobe"
"120","Election           Electon              Candidate                         Party   Votes",104,"adobe"
"121","1832               315                  W. Locke                          L       216",104,"adobe"
"122","                                        M. Gore                           L       166",104,"adobe"
"123","                                        Sir P.C.H. Durham                 C        94",104,"adobe"
"124","(Resignation of Gore on becoming a Conservative)",104,"adobe"
"125","1834                                    Sir P.C.H. Durham                 C       Unopp.",104,"adobe"
"126","(17/2)",104,"adobe"
"127","1835               311                  W. Locke                          L       240",104,"adobe"
"128","                                        Sir P.C.H. Durham                 C       154",104,"adobe"
"129","                                        Hon. P.P. Bouverie                L        96",104,"adobe"
"130","(Death of Locke)",104,"adobe"
"131","1835               343                  T .H.S.B. Estcourt                C       157",104,"adobe"
"132","(25/11)                                 J .W.D . Dundas                   L       145",104,"adobe"
"133","(Resignation of Durham )",104,"adobe"
"134","1836                                    J .W.D . Dundas                   L       Unopp .",104,"adobe"
"135","( 10/2)",104,"adobe"
"136","1837               341                  J .W.D . Dundas                   L       Unopp .",104,"adobe"
"137","                                        T.H.S.B. Ettcourt (Sotheron)      C       Unopp.",104,"adobe"
"138","(Appo intment of Dundas as Clerk of the Ordnance )",104,"adobe"
"139","1836              266                .. J.W.D . Dundas                    L       109",104,"adobe"
"140","(26/3)                                 •G .H.W. Heneege                   C       102",104,"adobe"
"141","184 1              375•                 G .H.W. Heneage                   C       Unopp.",104,"adobe"
"142","                                        T .H.S. Sotheron                  C       Unopp.",104,"adobe"
"143","[Resignation of Sothe ron in order to contest Wiltsh ire , No r thern)",104,"adobe"
"144","1844              385•                  W.H .L. Bruges                    C       202",104,"adobe"
"145","(7/2)                                   C . Temple                        L        67",104,"adobe"
"146","1847              389                   W .H .L. Bruges                   C       Unopp .",104,"adobe"
"147","                                        G.H .W . Heneage                  C       Unopp.",104,"adobe"
"148","[ Resignati on of Bruges)",104,"adobe"
"149","1848                                    J.B.B . Estcour t                 C       Unopp .",104,"adobe"
"150","125/2)",104,"adobe"
"151","1852              373                   J .N. Gladstone                   C       Unopp .",104,"adobe"
"152","                                        G .H .W. Heneage                  C       Unopp .",104,"adobe"
"153","1857              319                   S.W. Taylor                       L       230",104,"adobe"
"154","                                        C.O. Griffit h                    C       159",104,"adobe"
"155","                                        J .N. Gladstone                   C       118",104,"adobe"
"156","                                                     106",104,"adobe"
"157","",104,"adobe"
"158","                                     DEVIZES (59) (Cont .)",105,"adobe"
