"","text","page","method","year"
"1"," tno          THE .\ UD l'l'          CO~fPA XY           OF NEW YORI,.",100,"adobe",1901
"2"," CAMPBELL, LEWIS D., 300 Wa,shlngton Street .",100,"adobe",1901
"3","         Potter-Parlin Co., Treasurer and Director.",100,"adobe",1901
"4","         W. L. J ohn son Co., Director .",100,"adobe",1901
"5"," CAMPBELL, MATTHEW, 62 White Street.",100,"adobe",1901
"6","         Campbe ll Web Co.. President a nd Direc tor.",100,"adobe",1901
"7"," CAMPBELL, NEHEMIAH H., 18 B roadway.",100,"adobe",1901
"8","         American Ice Co., Direc tor.",100,"adobe",1901
"9","         Nntlona l Granite Co., Director.",100,"adobe",1901
"10"," C AMPB ELL, NORMAN S T. G., 120 Liberty Street.",100,"adobe",1901
"11","         Lightning Wage Calc ula t or & N ovelty Co., Treas ure r a nd Director.",100,"adobe",1901
"12"," CAMPBELL, PALMER, Produce Exchange, A 12.",100,"adobe",1901
"13","         Cam pbell S tor es. Presid en t and Director.",100,"adobe",1901
"14","         First National Bank of Hoboken, Director.",100,"adobe",1901
"15","         H obo k en F erry Co., Director.",100,"adobe",1901
"16","         H obok e n Land & Improvem ent Co .. Treasure r, General Ma n a g e r a nd Di-",100,"adobe",1901
"17","              r ector .",100,"adobe",1901
"18","         H o bolren Shore R.R. Co., G en e ral Manager nnd Director.",100,"adobe",1901
"19","         Tietj en & Lang Dry Do<'k Co., S ecr e tary a nd Director.",100,"adobe",1901
"20","CAMPBELL, T. C., 220 B roadway.",100,"adobe",1901
"21","         Bell Punc h & PrlnUng Co., Director .",100,"adobe",1901
"22","         Gibson H ouse H otel Co.~ Director.",100,"adobe",1901
"23","         N . Y. & Hayti Trading Co., Director.",100,"adobe",1901
"24","         Roxwell Mining Co .. Direct or .",100,"adobe",1901
"25","CAMPBELL, WILLIAM, 161 East Fitty-fourth Street.",100,"adobe",1901
"26","         Cam pbell Supply Co., President and Director.",100,"adobe",1901
"27","CANAVAN, J O HN F ., 5 Beekman Street.",100,"adobe",1901
"28","         EaRt & West R.R., Director.",100,"adobe",1901
"29","CANAVAN, J OHN J .. SS Libe rty S t r eet .",100,"adobe",1901
"30","         B e rlin· Mac hine Works, Ma n ager and Direc tor.",100,"adobe",1901
"31","CANDA, CH ARLES J ., ll Pine Street.",100,"adobe",1901
"32","         Canda Cattle Car Co., President and Director.",100,"adobe",1901
"33","         Canda Manufacturing Co., President and Director .",100,"adobe",1901
"34","         C hrome Steel Works, Vice-President and D irect or .",100,"adobe",1901
"35","         Ensign Ma nutRctu rlng Co., The, Vice-Preside nt and Direct or.",100,"adobe",1901
"36","         K ey W est Investment Co., Presiden t and Director .",100,"adobe",1901
"37","         Rio Gra nde Western Railway Co., The, Director.",100,"adobe",1901
"38","         Texas Pacific Land Trust, C h airma n or Boa rd ot Trus t ees.",100,"adobe",1901
"39","         Wes te rn Nationa l Bank, '.fhe, Director.",100,"adobe",1901
"40","CANDA, FERDJNAND E., ll Pine Street .",100,"adobe",1901
"41","         Ame rtc:tn Car & Foundry Co., Director .",100,"adobe",1901
"42","         C andn Cattle Car Co.. Vice-President n nd Dlre~ to r.",100,"adobe",1901
"43","         Cnnd n Manufacturing Co., Vice -Preside nt a nd Director.",100,"adobe",1901
"44","         Chrome Steel W o rks, President and Director.",100,"adobe",1901
"45","         Ensign Ma nu!acturtng Co., The, Preflldent and Direct or .",100,"adobe",1901
"46","C ANDEE. WILl.ARD L., 263 Broad w ay.",100,"adobe",1901
"47","         Ok o ntte Co. (Limited), The, Ma nage r a nd Director.",100,"adobe",1901
"48","CANFIELD. OF.ORO}<) F .• 48 W a ll Street.",100,"adobe",1901
"49","         At!Em ta & C h arlotte Air Line R u llwa.y Co., Director.",100,"adobe",1901
"50","         Butldlng & Snnttnry Ins pection Co., Director.",100,"adobe",1901
"51","C ANFIELD. HARRY. 2l Malden L a n e.",100,"adobe",1901
"52","         Roy Watch Cnse Co.. S ecre tary, Tr<'a!'lu r e r aml Direc to r .",100,"adobe",1901
"53","C ANNON. C HARLES M .. llG B r oadw ay.",100,"adobe",1901
"54","         Peter Cooper F ire J nsu r a n ce Co .. Director.",100,"adobe",1901
"55","C ANNON, D U N C AN B ., D e Kalb and Centra l Avenu e!'!. Brooklyn.",100,"adobe",1901
"56","         Brook lyn C ity & N e wtown R.R. Co .. Secretary, Treasure r and Director.",100,"adobe",1901
"57","         Con ey I s land & Brooklyn R.R. Co.. Secretary, Treasu rer a n d Direc to r .",100,"adobe",1901
