"","text","page","method","year"
"1","     DIRECTORY OF DIRECTORS",1,"hathi",1901
"2","                                        IN",1,"hathi",1901
"3","",1,"hathi",1901
"4","                       THE CITY OF NEW YORK.",1,"hathi",1901
"5","",1,"hathi",1901
"6","AARON, CHARLES E., 8 Ferry Street.",1,"hathi",1901
"7","       N. Y. Leather Belting Co., President and Director.",1,"hathi",1901
"8","ABBATE, D., 271 Elisabeth Street.",1,"hathi",1901
"9","    „  Halian Sa vines Bank, Trustee.",1,"hathi",1901
"10","ABBE, MAX F., 220 Broadway.",1,"hathi",1901
"11","       Max F. Abb6 Manufacturing Co., The, President and Director.",1,"hathi",1901
"12","ABBE, PAUL     O.,   220   Broadway.",1,"hathi",1901
"13","       Max F. Abb6 Manufacturing Co., The, Secretary and Director.",1,"hathi",1901
"14","ABBEY. FRANK R., 315 East Twenty-second Street.",1,"hathi",1901
"15","        Dan Talmage's Sons Co., Director",1,"hathi",1901
"16","ABBOTT, GARDNER, 123 East Twenty-third Street.",1,"hathi",1901
"17","       Rallwav Triplex Ticket Co., Secretary, Treasurer and Director.",1,"hathi",1901
"18","ABBOTT, IRA.    150   Broadway.",1,"hathi",1901
"19","       Wrought Iron Bridge Co., Director.",1,"hathi",1901
"20","ABBOTT, JOHN N., 140 Pearl Street.",1,"hathi",1901
"21","       Consolidated Railway Electric Lighting & Equipment      Co., Vice-President,",1,"hathi",1901
"22","           General Manager and Director.",1,"hathi",1901
"23","        National Railway Publication Co., Director.",1,"hathi",1901
"24","        Railway Triplex Ticket Co., President and Director.",1,"hathi",1901
"25","ABBOTT, LAWRENCE F., 2OT Fourth Avenue.",1,"hathi",1901
"26","        Outlook Co., The, President and Director.",1,"hathi",1901
"27","ABBOTT, WARREN M., 24 Vesey Street.",1,"hathi",1901
"28","        Abbott Manufacturing & Water Co., Director.",1,"hathi",1901
"29","ABBOTT, WILLIAM G., 1 Madison Avenue.",1,"hathi",1901
"30","        Porcelain Faced Brick Co., Secretary, Treasurer and Director.",1,"hathi",1901
"31","ABEEL, GEORGE, 190 South Street.",1,"hathi",1901
"32","       East River Savings Institution, Trustee.",1,"hathi",1901
"33","ABEGG. HENRY, 92 Grand Street.",1,"hathi",1901
"34","        Lion Silk Co., Director.",1,"hathi",1901
"35","       Stirling Silk Manufacturing Co., Director.",1,"hathi",1901
"36","ARKNDSCHHIN. GEORGE, East One Hundred and Thirty-fourth Street, corner",1,"hathi",1901
"37","           Brook Avenue.",1,"hathi",1901
"38","       Stalh Abendischeln Co., Incorporated, The, Treasurer and Director.",1,"hathi",1901
"39","ABENDSCHEIN, GEORGE F., East One Hundred and Thirty-fourth Street, corner",1,"hathi",1901
"40","           Brook Avenue.",1,"hathi",1901
"41","       Stalb-Abendscheln    Co., Incorporated, The, Secretary and Director",1,"hathi",1901
"42","ABERCROMBIE, RICHARD H., 142 Maiden Lane.",1,"hathi",1901
"43","       Bird Paper Manufacturing Co.> Secretary and Director.",1,"hathi",1901
"44","",1,"hathi",1901
"45","             THE AUDIT COMPANY OF NEW YORK.",2,"hathi",1901
"46","ABLOWICH, L.,  Walker Street.",2,"hathi",1901
"47","                  9",2,"hathi",1901
"48","        U.   S. Paper Co.,",2,"hathi",1901
