"","text","page","method","year"
"1","100           THE AUDIT COMPANY OF NEW YORK.",0,"adobe",1899
"2","CONNER, CHARLES S., 2 Duane Street.",0,"adobe",1899
"3","         Ame r ican 1.'ype founders' Co., DI.recto r.",0,"adobe",1899
"4","CONNER, GEORGE A., 9 W est Fourth Street.",0,"adobe",1899
"5","         Ehrhardt Multiple Fuse Block Co., President and Direc t or.",0,"adobe",1899
"6","CONNETT, EUGENE V., 25 Waverly Place.",0,"adobe",1899
"7","         Washington Life Insurance Co., Director.",0,"adobe",1899
"8","CONNOLLY, J OHN, 501 East One H undred and Sixteenth Street.",0,"adobe",1899
"9","         Park Building a nd Lonn Associa tion, Direc to r.",0,"adobe",1899
"10","CONOVER, A . EDWARD, JR., 9 W es t Thirtieth Street.",0,"adobe",1899
"11","         Conover F ireplace Manufa cturing Co., Treasurer a nd Direc tor.",0,"adobe",1899
"12","CONOVER, A L BERT S., 26 Cortlandt Street.",0,"adobe",1899
"13","         Conover Manufac turing Co., Director.",0,"adobe",1899
"14","CONOVER, ALONZO E ., 9 W est 'l'hlrtle th Street.",0,"adobe",1899
"15","         Conover Fireplace Ma nufacturing Co., President a nd D irector.",0,"adobe",1899
"16","CONOVJ<::R , EDWIN K ., 26 Cortlandt Stree t.",0,"adobe",1899
"17","         Conover Ma nufacturing Co., Pres ide nt a nd Director.",0,"adobe",1899
"18","CONOVER. J . DEY, 101 Franklin Street.",0,"adobe",1899
"19","         C. E. Conover Co., P r esld""!nt a nd Directo r .",0,"adobe",1899
"20","CONOVER, JOHN L., 143 Libert y Stree t .",0,"adobe",1899
"21","         Sawaren Improvem e nt Co., Directo r .",0,"adobe",1899
"22","CONOV ER. JOSE PH B .. 26 Cortlandt Street.",0,"adobe",1899
"23","         Conover Manufacturing Co. , Secreta r y and Dir ector.",0,"adobe",1899
"24","CONOVER, WARREN A., 253 Broad w ay.",0,"adobe",1899
"25","         Broadwa y Savings In s titution, Trustee.",0,"adobe",1899
"26","CON OV E R , WILLIAM E., 9 W e st Thirtie th Stree t.",0,"adobe",1899
"27","         Conover Fireplace Manu facturing Co., Direc tor.",0,"adobe",1899
"28","CONRAD, C., 435-443 Atla ntic Avenue, Brookl y n.",0,"adobe",1899
"29","         A. Busch Bottling Co.. Director.",0,"adobe",1899
"30","CONRAD, JOHN G., 43 Cedar Street.",0,"adobe",1899
"31","        Frank fort American I n s ura n ce Co., Director.",0,"adobe",1899
"32","        Thuringla-American Fire I nsurance Co., D irector.",0,"adobe",1899
"33","CONROW, JAMES W., 25 Astor Place.",0,"adobe",1899
"34","        A s tor Place Bank, Vice-President a nd Direct or.",0,"adobe",1899
"35","CONROY, JOHN P., 224 East One Hundred and Twelfth Street.",0,"adobe",1899
"36","        Mt. M orris Co-ope rative Building and Loan Assoclatton , Direct or.",0,"adobe",1899
"37","CONROY, THOMAS, 2Z1 H enry Street.",0,"adobe",1899
"38","        Greenwich B ulldlng a nd Loan Association, Director.",0,"adobe",1899
"39","CONSTAB LE, J AMES M., 881 Broa dwa y .",0,"adobe",1899
"40","        Bank of N. Y., The, Director.",0,"adobe",1899
"41","CONSTANTINE, ANDREW J ., 220 L ·:!wls Street.",0,"adobe",1899
"42","        Con stantine & Co., President and Director.",0,"adobe",1899
"43","CONST A NTI NE, LOUIS, 220 Lewis Street.",0,"adobe",1899
"44","        Con s tantine & Co., Director.",0,"adobe",1899
"45","CONSTANTINE , RlC:HARD B., 220 L e wis S treet.",0,"adobe",1899
"46","        Consta ntine & Co., Secr e tary a nd Direct or.",0,"adobe",1899
"47","CONVERSE, EDMU ND C., Z1 P in e Street .",0,"adobe",1899
"48","        American Bank Note Co., Trustee.",0,"adobe",1899
"49","        Ass ura nce Co., of Ame rica, Director.",0,"adobe",1899
"50","        L afayette F ire Insurance Co., Direct or.",0,"adobe",1899
"51","        Liberty N a tional Bank , D ir ect or.",0,"adobe",1899
"52","        Manaos Railwa y Co., Director.",0,"adobe",1899
"53","        Mc K eesport Connecting Railway Co., Gen eral Manager and Direc tor.",0,"adobe",1899
"54","        N a tional Sta nda rd Ins ura nce Co., President and Director.",0,"adobe",1899
"55","        N a tional Surety Co., Direct or.",0,"adobe",1899
"56","        National Tube Wo rks Co. of Pittsburg, Vice-President a nd Director.",0,"adobe",1899
"57","        N e w York Casua lty Co., Director .",0,"adobe",1899
"58","         Scarsd a le Esta t e, Directo r .",0,"adobe",1899
"59","         T rus t Co. of America, Director.",0,"adobe",1899
"60","",0,"adobe",1899
"61","                       DIRECTORY OF DIRECTORS.                            101",1,"adobe",1899
"62","CONVERSE, ELISHA S ., 70 R eade Street.",1,"adobe",1899
"63","       Boston Rubber Shoe Co., President and D irector . .",1,"adobe",1899
"64","       In te rna tional B e ll T elephone Co. (L im ited), Director.",1,"adobe",1899
"65","CONVILLE, B ERNARD J ., 333 E ast F or ty-sixth Street.",1,"adobe",1899
"66","       Thomas Conville B r e wing Co., S ecre ta ry and Director.",1,"adobe",1899
"67","CONVILLE, THOMAS, 338 E ast F orty-sixth St r eet.",1,"adobe",1899
"68","       Thom as Conville Brewing Co.. President and Director .",1,"adobe",1899
"69","CONVILLE, THOMAS F., 338 East Forty-s ixth Street.",1,"adobe",1899
"70","       Thomas Con v111e Bre wing Co., Treas ure r and Director .",1,"adobe",1899
"71","CONWAY, EDWARD S .• 130 L exington Avenue.",1,"adobe",1899
"72","       Compound Creosote Capsule Co., The, Secr etary and Director.",1,"adobe",1899
"73","CONWAY, EUSTACE, 29 Broadway.",1,"adobe",1899
"74","       Colby & Co., Director.",1,"adobe",1899
"75","        Pande Basin Gold Placer Co., Director.",1,"adobe",1899
"76","       United 011 Co., Director.",1,"adobe",1899
"77","CONWAY, JAMES L., 113 Worth Stree t.",1,"adobe",1899
"78","       Fort L ee Park & Steamboat Co., Direc tor.",1,"adobe",1899
"79","COOK, CHARLES T ., Ui Union Squa r e.",1,"adobe",1899
"80","       Ald lne Association, Dir ect or .",1,"adobe",1899
"81","       Bowery Savings Bank, Trustee.",1,"adobe",1899
"82","       Knickerbocker 'Trust Co., Director.",1,"adobe",1899
"83","        Tilfa.ny & Co., Vice-Preside nt and Direct or.",1,"adobe",1899
"84","COOK, EDMUND D., 123 Chambers S treet.",1,"adobe",1899
"85","       S tephen Ballard Publishing Co., Treasurer and Director.",1,"adobe",1899
"86","COOK, FREDERI CK, 192 Broadway.",1,"adobe",1899
"87","        Corbin Investment Co., Treas urer R.nd Director .",1,"adobe",1899
"88","       Manhattan B each Hotel and Land Co. (Limited), Director.",1,"adobe",1899
"89","       N . Y. & L ong I s land Construction Co. , Director .",1,"adobe",1899
