"","text","page","method"
"1","                       DARLINGTON         [56]",100,"hathi"
"2","Election   Electors   Candidate                  Party   Votes",100,"hathi"
"3","1868       3,057      E. Backhouse               L       1,789",100,"hathi"
"4","                      H.K. Spark                 L        875",100,"hathi"
"5","1874       4,073      E. Backhouse               L       1,625",100,"hathi"
"6","                      H.K. Spark                 L       1,607",100,"hathi"
"7","                      T.G. Bowles                C        305",100,"hathi"
"8","1880       4,966      T. Fry                     L       2,772",100,"hathi"
"9","                      H.K. Spark                 L       1,331",100,"hathi"
"10","                                    102",100,"hathi"
"11","",100,"hathi"
"12","                                               DARTMOUTH            [57]",101,"hathi"
"13","Election             Electors            Candidate                                  Party        Votes",101,"hathi"
"14","1832                 243                 J.H.    Seale                              L            Unopp.",101,"hathi"
"15","1835                 240                 J.H.    Seale                                           Unopp.",101,"hathi"
"16","1837                 257                 J.H.    Seale                                           Unopp.",101,"hathi"
"17","1841                 276                 Sir   J.H.    Seale, Bt.                                Unopp.",101,"hathi"
"18","[Death]",101,"hathi"
"19","1844                 282*                J.    Somes                                C            125",101,"hathi"
"20","(27/12)                                  G. Moffatt                                 L            118",101,"hathi"
"21","[Death]",101,"hathi"
"22","1845                 282*                G . Moffatt                                L             125",101,"hathi"
"23","(3/7)                                    H. T. Prinsep                              C            111",101,"hathi"
"24","1847                 376                 G. Moffatt                                              Unopp.",101,"hathi"
"25","1852                 302                 Sir T. Herbert                             C             146",101,"hathi"
"26","                                         W.S. Lindsay                               L             135",101,"hathi"
"27","1857                 269                 J.Caird                                                  127",101,"hathi"
"28","                                         C.S. Hayne                                               94",101,"hathi"
"29","1859                 257                 E.W.H. Schenley                            L             123",101,"hathi"
"30","                                         Sir T. Herbert                             C             116",101,"hathi"
"31","[Election declared void on petition]",101,"hathi"
"32","1859                                     J.    Dunn                                               Unopp.",101,"hathi"
"33","(8/8)",101,"hathi"
"34","[Death]",101,"hathi"
"35","1860                 246                 J.Hardy                                    C             112",101,"hathi"
"36","(3/11)                                   C.S. Hayne                                 L             110",101,"hathi"
"37","1865                 282                 J.    Hardy                                              Unopp.",101,"hathi"
"38","               This constituency ceased to return a Member of Parliament in 1868 and was incorporated",101,"hathi"
"39","               into the county constituency of Devon, Southern.",101,"hathi"
"40","Petitions:-",101,"hathi"
"41","        1844         Dismissed",101,"hathi"
"42","        1852         Dismissed",101,"hathi"
"43","        1859          Void election",101,"hathi"
"44","                                                            103",101,"hathi"
"45","",101,"hathi"
"46","                                                   DERBY           [58]",102,"hathi"
"47","                                                       (Two   Seats)",102,"hathi"
"48","Election             Electors               Candidate                     Party   Votes",102,"hathi"
"49","1832                 1,384                 tE. Strutt                     L        884",102,"hathi"
"50","                                           tH.F.C. Cavendish              L        716",102,"hathi"
"51","                                            Sir C. Colvile                C        430",102,"hathi"
"52","1835                 1,478                  E. Strutt                     L        903",102,"hathi"
"53","                                            Hon. J.G.B. Ponsonby          L        724",102,"hathi"
"54","                                            Hon. F. Curzon                C        525",102,"hathi"
"55","1837                 1,751                  E. Strutt                     L        836",102,"hathi"
"56","                                            Hon. J.G.B. Ponsonby          L        791",102,"hathi"
"57","                                            Hon. F. Curzon                C        525",102,"hathi"
"58","                                            C.R. Colvile                  C        456",102,"hathi"
"59","1841                 1,906                  E. Strutt                              875",102,"hathi"
"60","                                            Hon. J.G.B. Ponsonby                   784",102,"hathi"
"61","                                             (Viscount Duncannonj",102,"hathi"
"62","                                            E.S.C. Pole                            587",102,"hathi"
"63","[Appointment of Strutt as Chief Commissioner of Railways]",102,"hathi"
"64","1846                 2,022*                 E. Strutt                     L        835",102,"hathi"
"65","(4/9)                                       Sir D. Mackworth, Bt.         c",102,"hathi"
"66","[Succession   of Duncannon to the Peerage— Earl of Bessborough]",102,"hathi"
"67","1847                                        Hon. E.F.L. Gower                     Unopp.",102,"hathi"
"68","(16/6)",102,"hathi"
"69","1847                 2,177                  E. Strutt                     L        881",102,"hathi"
"70","                                            Hon. E.F.L. Gower             L        852",102,"hathi"
"71","                                            H. Raikes                     C        820",102,"hathi"
"72","                                            P. McGrath                    Ch       216",102,"hathi"
"73","[Election declared    void on petition]",102,"hathi"
"74","1848              2,177                     M.T. Bass                     L        956",102,"hathi"
"75","(2/9)                                       L. Heyworth                   L        912",102,"hathi"
"76","                                            J.W. Freshfield               C        778",102,"hathi"
"77","                                            J. Lord                       C         760",102,"hathi"
"78","1852                 2,448                  M.T. Bass                     L       1,252",102,"hathi"
"79","                                          **T.B. Horsfall                 c       1,025",102,"hathi"
"80","                                           *L. Heyworth                   L       1,018",102,"hathi"
"81","1857                 2,479                  M.T. Bass                     L        884",102,"hathi"
"82","                                            S. Beale                      L        846",102,"hathi"
"83","                                            W.F . Mackenzie               c        430",102,"hathi"
"84","1859              2,513                     M.T. Bass                     L       1,260",102,"hathi"
"85","                                            S. Beale                      L        902",102,"hathi"
"86","                                            W.M. James                    L        736",102,"hathi"
"87","                                            H.C. Raikes                   C        648",102,"hathi"
"88","                                                             104",102,"hathi"
"89","",102,"hathi"
"90","                                              DERBY         [58]   (Cont.)",103,"hathi"
"91","                                                        (Two Seats)",103,"hathi"
"92","Election         Electors                    Candidate                                      Party         Votes",103,"hathi"
"93","1865             2,450                   W.T. Cox                                           C             1,096",103,"hathi"
"94","                                         M.T. Bass                                          L             1,063",103,"hathi"
"95","                                         S. Plimsoll                                        L                  691",103,"hathi"
"96","                                             S. Beale                                       L                  608",103,"hathi"
"97","1868             9,777t                      M.T. Bass                                      L             4,995",103,"hathi"
"98","                                             S. Plimsoll                                    L             4,677",103,"hathi"
"99","                                             W.T. Cox                                       C             2,492",103,"hathi"
"100","1874            11,316                       M.T. Bass                                      L             5,579",103,"hathi"
"101","                                             S. Plimsoll                                    L             4,938",103,"hathi"
"102","                                             W.T. Cox                                       C             3,642",103,"hathi"
"103","1880            13,006                       M.T. Bass                                      L             8,864",103,"hathi"
"104","                                             S. Plimsoll                                    L             7,758",103,"hathi"
"105","                                             T. Collins                                     c             2,730",103,"hathi"
"106","[Resignation of Plimsoll]",103,"hathi"
"107","1880                                         Sir W.G.G.V.V. Harcourt                                      Unopp.",103,"hathi"
"108","(26/5)",103,"hathi"
"109","[Resignation of Bass]",103,"hathi"
"110","1883                                         T. Roe                                                       Unopp.",103,"hathi"
"111","(12/6)",103,"hathi"
"112","Petitions:-",103,"hathi"
"113","       1847:     Void election",103,"hathi"
"114","       1852:     Election of Horsfall declared          void. Heyworth duly elected after scrutiny. Petition",103,"hathi"
"115","                 against    Bass dismissed",103,"hathi"
"116","                                                            105",103,"hathi"
"117","",103,"hathi"
"118","                                            DEVIZES        [59]",104,"hathi"
"119","                              (Two seats until 1868; one seat from 1868)",104,"hathi"
"120","Election           Electors           Candidate                            Party   Votes",104,"hathi"
