"","text","page","method","year"
"1","100          THE AUDIT COMPANY OF NEW YORK.",100,"hathi",1899
"2","CONNER, CHARLES     S., 2 Duane Street.",100,"hathi",1899
"3","       American Typefounders' Co., Director.",100,"hathi",1899
"4","CONNER, GEORGE A., 9 West Fourth Street.",100,"hathi",1899
"5","       Ehrhardt Multiple Fuse Block Co., President and Director.",100,"hathi",1899
"6","CONNETT, EUGENE V., 25 Waverly Place.",100,"hathi",1899
"7","       Washington Life Insurance Co., Director.",100,"hathi",1899
"8","CONNOLLY, JOHN, 501 East One Hundred and Sixteenth Street.",100,"hathi",1899
"9","       Park Building and Loan Association, Director.",100,"hathi",1899
"10","CONOVER, A. EDWARD, JR., 9 West Thirtieth Street.",100,"hathi",1899
"11","       Conover Fireplace Manufacturing Co., Treasurer and Director.",100,"hathi",1899
"12","CONOVER, ALBERT S., 26 Cortlandt Street.",100,"hathi",1899
"13","       Conover Manufacturing Co., Director.",100,"hathi",1899
"14","CONOVER, ALONZO E., 9 West Thirtieth Street.",100,"hathi",1899
"15","       Conover Fireplace Manufacturing Co., President and Director.",100,"hathi",1899
"16","CONOVER, EDWIN K., 26 Cortlandt Street.",100,"hathi",1899
"17","       Conover Manufacturing Co., President and Director.",100,"hathi",1899
"18","CONOVER, J. DEY,  101 Franklin Street.",100,"hathi",1899
"19","       C. E. Conover Co., President and Director.",100,"hathi",1899
"20","CONOVER, JOHN L., 143 Liberty Street.",100,"hathi",1899
"21","       Sewaren Improvement Co., Director.",100,"hathi",1899
"22","CONOVER, JOSEPH B., 26 Cortlandt Street.",100,"hathi",1899
"23","       Conover Manufacturing Co., Secretary and Director.",100,"hathi",1899
"24","CONOVER, WARREN A.,       253 Broadway.",100,"hathi",1899
"25","       Broadway Savings Institution, Trustee.",100,"hathi",1899
"26","CONOVER, WILLIAM E., 9 West Thirtieth Street.",100,"hathi",1899
"27","       Conover Fireplace Manufacturing Co., Director.",100,"hathi",1899
"28","CONRAD, C, 435-443 Atlantic Avenue, Brooklyn.",100,"hathi",1899
"29","       A. Busch Bottling Co., Director.",100,"hathi",1899
"30","CONRAD, JOHN G., 43 Cedar Street.",100,"hathi",1899
"31","       Frankfort American Insurance Co., Director.",100,"hathi",1899
"32","       Thuringla- American Fire Insurance Co., Director.",100,"hathi",1899
"33","CONROW, JAMES W., 25 Astor Place.",100,"hathi",1899
"34","       Astor Place Bank, Vice-President and Director.",100,"hathi",1899
"35","CONROY, JOHN P., 224 East One Hundred and Twelfth Street.",100,"hathi",1899
"36","       Mt. Morris Co-operative Building and Loan Association, Director.",100,"hathi",1899
"37","CONROY, THOMAS, 227 Henry Street.",100,"hathi",1899
"38","       Greenwich Building and Loan Association, Director.",100,"hathi",1899
"39","CONSTABLE, JAMES M., 881 Broadway.",100,"hathi",1899
