"","text","page","method"
"1","ENGLAND —-—- LONDON BOROUGHS",24,"tesseract"
"2",". . . Originalfrom",25,"tesseract"
"3","D b < ;( ﬂ ) e",25,"tesseract"
"4","Igltlzw y 81 UNIVERSI I Y OF MICHIGAN",25,"tesseract"
"5","Election Electors",26,"tesseract"
"6","1868 17,408",26,"tesseract"
"7","1874 23,560",26,"tesseract"
"8","1880 30,951",26,"tesseract"
"9","[Appointment of Dilke as President of the Local Government Board]",26,"tesseract"
"10","1883",26,"tesseract"
"11","(11/1)",26,"tesseract"
"12","Co 81C",26,"tesseract"
"13","CHELSEA [1]",26,"tesseract"
"14","(Two Seats)",26,"tesseract"
"15","Candldato",26,"tesseract"
"16","C.W. Dilke",26,"tesseract"
"17","Sir H.A. Hoare,Bt.",26,"tesseract"
"18","W.H. Ruse""",26,"tesseract"
"19","C.J. Freake",26,"tesseract"
"20","Sir C.W. Dilke, St.",26,"tesseract"
"21","W. Gordon",26,"tesseract"
"22","Sir H.A. Hoare, 81.",26,"tesseract"
"23","GM. Kiell",26,"tesseract"
"24","Sir c.W. Dilke, Bt.",26,"tesseract"
"25","J.F.8. Firth",26,"tesseract"
"26","Lord Inverurie",26,"tesseract"
"27","WJ. Browne",26,"tesseract"
"28","Sir C.W. Dilke, Bt.",26,"tesseract"
"29","rrOr",26,"tesseract"
"30","001‘!-",26,"tesseract"
"31","Votes",26,"tesseract"
"32","7,374",26,"tesseract"
"33","7,183",26,"tesseract"
"34","4,177",26,"tesseract"
"35","3,929",26,"tesseract"
"36","7,217",26,"tesseract"
"37","7,172",26,"tesseract"
"38","6,701",26,"tesseract"
"39","1,967",26,"tesseract"
"40","1 2 ,406",26,"tesseract"
"41","1 2 .046",26,"tesseract"
"42","9 ,666",26,"tesseract"
"43","9 .488",26,"tesseract"
"44","Unopp.",26,"tesseract"
"45","E loct ion E loctors",27,"tesseract"
"46","1832 18,584",27,"tesseract"
"47","[Death of Waithman]",27,"tesseract"
"48","1833 18,584",27,"tesseract"
"49","(27/2)",27,"tesseract"
"50","[Resignation of Key]",27,"tesseract"
"51","1833 18,584",27,"tesseract"
"52","(12/8)",27,"tesseract"
"53","1835 18,288",27,"tesseract"
"54","1837 19,678",27,"tesseract"
"55","1841 19,068",27,"tesseract"
"56","[Death of Wood]",27,"tesseract"
"57","1843 20,030",27,"tesseract"
"58","(20/10)",27,"tesseract"
"59","[Appointment of Russell as Prime Minister and First Lord of the Treasury]",27,"tesseract"
"60","1846",27,"tesseract"
"61","(8/7)",27,"tesseract"
"62","1847 20,057",27,"tesseract"
"63","Co 81C",27,"tesseract"
"64"," ",27,"tesseract"
"65","CITY of LONDON [2]",27,"tesseract"
"66","(Four Seats)",27,"tesseract"
"67","Cand idato",27,"tesseract"
"68","G. Grote",27,"tesseract"
"69","tM. Wood",27,"tesseract"
"70","1R. Waithman",27,"tesseract"
"71","Sir J. Key, Bt.",27,"tesseract"
"72","G. Lyall",27,"tesseract"
"73","M. Sales",27,"tesseract"
"74","6. Lyall",27,"tesseract"
"75","W. Venables",27,"tesseract"
"76","W. Crawford",27,"tesseract"
"77","F. Kemble",27,"tesseract"
"78","M. Wood",27,"tesseract"
"79","J. Pattison",27,"tesseract"
"80","W. Crawford",27,"tesseract"
"81","G. Grote",27,"tesseract"
"82","G. Lvall",27,"tesseract"
"83","W. Ward",27,"tesseract"
"84","T. Wilson",27,"tesseract"
"85","M. Wood",27,"tesseract"
"86","W. Crawford",27,"tesseract"
"87","J. Pattison",27,"tesseract"
"88","G. Grote",27,"tesseract"
"89","J.H. Palmer",27,"tesseract"
"90","J. Masterman",27,"tesseract"
"91","Sir M. Wood, Bt.",27,"tesseract"
"92","G. Lyall",27,"tesseract"
"93","Lord John Russell",27,"tesseract"
"94","M.W. Attwood",27,"tesseract"
"95","J. Pattison",27,"tesseract"
"96","W. Crawford",27,"tesseract"
"97","J. Pirie",27,"tesseract"
"98","J. Pattison",27,"tesseract"
"99","T. Baring",27,"tesseract"
"100","Lord John Russell",27,"tesseract"
"101","Lord John Russell",27,"tesseract"
"102","J. Pattison",27,"tesseract"
"103","Baron L.N. de Rothschild",27,"tesseract"
"104","J. Masterman",27,"tesseract"
"105","Sir 6.6. de H. Larpent, Bt.",27,"tesseract"
"106","R.C.L. Bevan",27,"tesseract"
"107","J. Johnson",27,"tesseract"
"108","J.W. Freshfield",27,"tesseract"
"109","W. Payne",27,"tesseract"
"110","Party",27,"tesseract"
"111","Ol‘ 1’0 FOPI‘I'I'",27,"tesseract"
"112","Ol'l'l-l' onor-rrr-",27,"tesseract"
"113","Ol'l'Ol'Of'O",27,"tesseract"
"114","rOOOrorrr",27,"tesseract"
"115","Votes",27,"tesseract"
"116","8,412",27,"tesseract"
"117","7,488",27,"tesseract"
"118","7,452",27,"tesseract"
"119","6,136",27,"tesseract"
"120","5,112",27,"tesseract"
"121","569",27,"tesseract"
"122","5 569",27,"tesseract"
"123","4,527",27,"tesseract"
"124","4,041",27,"tesseract"
"125","2,004",27,"tesseract"
"126","6,418",27,"tesseract"
"127","6,050",27,"tesseract"
"128","5,961",27,"tesseract"
"129","5,955",27,"tesseract"
"130","4,599",27,"tesseract"
"131","4,559",27,"tesseract"
"132","4,514",27,"tesseract"
"133","6,517",27,"tesseract"
"134","6,071",27,"tesseract"
"135","6,070",27,"tesseract"
"136","5,879",27,"tesseract"
"137","5,873",27,"tesseract"
"138","6,339",27,"tesseract"
"139","6,315",27,"tesseract"
"140","6,290",27,"tesseract"
"141","6,221",27,"tesseract"
"142","6,212",27,"tesseract"
"143","6,070",27,"tesseract"
"144","6,065",27,"tesseract"
"145","6,017",27,"tesseract"
"146","6.532",27,"tesseract"
"147","6,367",27,"tesseract"
"148","Unopp.",27,"tesseract"
"149","7,137",27,"tesseract"
"150","7,030",27,"tesseract"
"151","6,792",27,"tesseract"
"152","6,722",27,"tesseract"
"153","6,719",27,"tesseract"
"154","5.268",27,"tesseract"
"155","5,069",27,"tesseract"
"156","4,704",27,"tesseract"
"157","513",27,"tesseract"
"158","CITY of LONDON [2] (Con!)",28,"tesseract"
"159","(Four Seats)",28,"tesseract"
"160","E loction Electors Cand idate",28,"tesseract"
"161","[Rothschild seeks reelection after rejection of the Jewish Disabilities Bill]",28,"tesseract"
"162","1849 21,270 Baron L.N. de Rothschild",28,"tesseract"
"163","(4/7) Lord John Manners",28,"tesseract"
"164","[Death of Pattison",28,"tesseract"
"165","1849 Sir J. Duke",28,"tesseract"
"166","(27/7)",28,"tesseract"
"167","1852 20,728 J. Masterman",28,"tesseract"
"168","Lord John Russell",28,"tesseract"
"169","Sir .I. Duke, St.",28,"tesseract"
"170","Baron L.N. de Rothschild",28,"tesseract"
"171","R.W. Crawford",28,"tesseract"
"172","[Appointment of Russell as Secretary of State for Foreign Affairs]",28,"tesseract"
"173","1853 Lord John Russell",28,"tesseract"
"174","(3/1)",28,"tesseract"
"175","[Appointment of Russell as Lord President of the Council]",28,"tesseract"
"176","1854 Lord John Russell",28,"tesseract"
"177","(14/6)",28,"tesseract"
"178","[Appointment of Russell as Secretary of State for the Colonies]",28,"tesseract"
"179","1855 Lord John Russell",28,"tesseract"
"180","(3/3)",28,"tesseract"
"181","1857 19,115 SirJ.Duke,Bt.",28,"tesseract"
"182","Baron LN. de Rothschild",28,"tesseract"
"183","Lord John Russell",28,"tesseract"
"184","R.W. Crawford",28,"tesseract"
"185","R. Currie",28,"tesseract"
"186","[Rothschild seeks re-election after rejection of the Jewish Disabilities Bill]",28,"tesseract"
"187","1857 Baron L.N. de Rothschild",28,"tesseract"
"188","(28/7)",28,"tesseract"
"189","1859 19,026 Sir J. Duke, Bt.",28,"tesseract"
"190","Baron LN. de Rothschild",28,"tesseract"
"191","Lord John Russell",28,"tesseract"
"192","R .W. Crawford",28,"tesseract"
"193","[Appointment of Russell as Secretary of State for Foreign Affairs]",28,"tesseract"
"194","1859 Lord John Russell",28,"tesseract"
"195","(27/6)",28,"tesseract"
"196","[Elevation of Russell to the Peerage — Earl Russell]",28,"tesseract"
"197","1861 18,562“ W. Wood",28,"tesseract"
"198","(29/7) W. Cubitt",28,"tesseract"
"199","Co 81C",28,"tesseract"
"200","Party",28,"tesseract"
"201","01""",28,"tesseract"
"202","l'l'l'l'n",28,"tesseract"
"203","l-l-l-l'"" r'r'r'r-r‘",28,"tesseract"
"204","Ol-",28,"tesseract"
"205","Votes",28,"tesseract"
"206","6,017",28,"tesseract"
"207","2314",28,"tesseract"
"208","Unopp.",28,"tesseract"
"209","6,195",28,"tesseract"
"210","5,537",28,"tesseract"
"211","5,270",28,"tesseract"
"212","4,748",28,"tesseract"
"213","3,765",28,"tesseract"
"214","Unopp.",28,"tesseract"
"215","Unopp.",28,"tesseract"
"216","Unopp.",28,"tesseract"
"217","6,664",28,"tesseract"
"218","6,398",28,"tesseract"
"219","6.308",28,"tesseract"
"220","5 ,808",28,"tesseract"
"221","4,51 9",28,"tesseract"
"222","Unopp.",28,"tesseract"
"223","Unopp.",28,"tesseract"
"224","Unopp.",28,"tesseract"
"225","Unopp.",28,"tesseract"
"226","Unopp.",28,"tesseract"
"227","Unopp.",28,"tesseract"
"228","5,747",28,"tesseract"
"229","5,241",28,"tesseract"
"230","CITY of LONDON [2] (Cont)",29,"tesseract"
"231","(Four Seats)",29,"tesseract"
"232","Election Electors Candidate Party Votes",29,"tesseract"
"233","[Death of Wood]",29,"tesseract"
"234","1863 G.J. Goschen L Unopp.",29,"tesseract"
"235","(2/6)",29,"tesseract"
"236","1865 15,534 G.J. Goschen L 7,102",29,"tesseract"
"237","FLW. Crawford L 7,086",29,"tesseract"
"238","W. Lawrence L 6,637",29,"tesseract"
"239","Baron L.N. de Rothschild L 6,525",29,"tesseract"
"240","G. Lyall C 4,197",29,"tesseract"
"241","R.N. Fowler C 4,086",29,"tesseract"
"242","[Appointment of Goschen as Chancellor of the Duchy of Lancaster]",29,"tesseract"
"243","1866 GJ. Goschen L Unopp.",29,"tesseract"
"244","(26/2)",29,"tesseract"
"245","1868 20,185 G.J. Goschen L 6,520",29,"tesseract"
"246","R.W. Crawford L 6,258",29,"tesseract"
"247","W. Lawrence L 6,215",29,"tesseract"
"248","C. Bell C 6,130",29,"tesseract"
"249","P. Twells C 6,099",29,"tesseract"
"250","SJ. Gibbons C 6.013",29,"tesseract"
"251","Baron FLN. de Rothschild L 5995",29,"tesseract"
"252","[Appointment of Goschen as President of the Poor Law Board]",29,"tesseract"
"253","1868 GJ. Goschen L Unopp.",29,"tesseract"
"254","(21/12)",29,"tesseract"
"255","[Death of Bell]",29,"tesseract"
"256","1869 Baron L.N. de Rothschild L Unopp.",29,"tesseract"
"257","(22/2)",29,"tesseract"
"258","1874 22,626 WJB. Cotton C 8,397",29,"tesseract"
"259","P. Twells C 8,330",29,"tesseract"
"260","J.G. Hubbard C 8.210",29,"tesseract"
"261","G.J. Goschen L 6,787",29,"tesseract"
"262","W. Lawrence L 6.654",29,"tesseract"
"263","Baron R.N. de Rothschild L 6,490",29,"tesseract"
"264","1880 24,042 WJB. Cotton C 10,326",29,"tesseract"
"265","RN. Fowler C 10274",29,"tesseract"
"266","J.G. Hubbard C 10.256",29,"tesseract"
"267","W. Lawrence L 5,950",29,"tesseract"
"268","R.B. Martin L 5,837",29,"tesseract"
"269","W. Morrison L 5,743",29,"tesseract"
"270","Petitions:—",29,"tesseract"
"271","1837: Dismissed",29,"tesseract"
"272","1849: Withdrawn",29,"tesseract"
"273","(4/7)",29,"tesseract"
"274","6",29,"tesseract"
"275","C0 81C",29,"tesseract"
"276","F INSBURY [3]",30,"tesseract"
"277","(Two Sean)",30,"tesseract"
"278","Election Ebctors Candidate Party Votes",30,"tesseract"
"279","1832 10,309 1F1. Grant L 4,278",30,"tesseract"
"280","F1. Spankie C 2,842",30,"tesseract"
"281","C. Babbage L 2,311",30,"tesseract"
"282","T. Wekley ’L 2,151",30,"tesseract"
"283","C. Temple L 787",30,"tesseract"
"284","[Resignation of Grant on appointment as Governor of Bombay]",30,"tesseract"
"285","1834 9,294 T.S. Dunoornbe L 2,514",30,"tesseract"
"286","(2/7) H. Pownall C 1,915",30,"tesseract"
"287","T. Wakley L 695",30,"tesseract"
"288","C. Babbage L 379",30,"tesseract"
"289","1835 10,299 T.S. Duneornbe L 4,497",30,"tesseract"
"290","T. Wakley L 3.359",30,"tesseract"
"291","R. Spankie C 2,332",30,"tesseract"
"292","H.W. Hobhouse L 1317",30,"tesseract"
"293","1837 12,264 T. Wekley L 4,957",30,"tesseract"
"294","T.S. Dunoombe L 4,895",30,"tesseract"
"295","D.M. Parceval C 2,470",30,"tesseract"
"296","1841 12,974"" T.S. Ouncombe L Unopp.",30,"tesseract"
"297","T. Wekley L Unopp.",30,"tesseract"
"298","1847 15,921 T.S. Dunoombe L Unopp.",30,"tesseract"
"299","T. Wekley L Unopp.",30,"tesseract"
"300","1852 20,025 T. Challis L 7,504",30,"tesseract"
"301","T.S. Dunoombe L 6,678",30,"tesseract"
"302",".l. Wyld L 2,010",30,"tesseract"
"303","1857 20,626 T.S. Dunoombe L 6,922",30,"tesseract"
"304","W. Cox L 4,110",30,"tesseract"
"305","J.H. Parry L 3,954",30,"tesseract"
"306","J.H. Reed L 2,378",30,"tesseract"
"307","1859 21,951 T.S. Dunoornbe L 8,538",30,"tesseract"
"308","Sir SM. Peto, Bt. L 8,174",30,"tesseract"
"309","W. Cox L 4,556",30,"tesseract"
"310","[Death of Duneombel",30,"tesseract"
"311","1861 22,556 W. Cox L 4384",30,"tesseract"
"312","(17/12) J.H. Mills L 4,848",30,"tesseract"
"313","1865 25,461 W.T.M. Torrens L 8,480",30,"tesseract"
"314","A. Lusk L 7.959",30,"tesseract"
"315","W. Cox L 5,100",30,"tesseract"
"316","W. Phillips C 866",30,"tesseract"
"317","T.W. Perfitt L 316",30,"tesseract"
"318","C0 81C",30,"tesseract"
"319","FINSBURY [3] 1Com.)",31,"tesseract"
"320","(Two Seats)",31,"tesseract"
"321","Election Electors Candidate Party Votes",31,"tesseract"
"322","1868 33.6011 W.T.M. Torrens L 13,159",31,"tesseract"
"323","A. Lusk L 12,503",31,"tesseract"
"324","'P.I=. O'Mallov 0 6,137",31,"tesseract"
"325","W. Cox L 1,238",31,"tesseract"
"326","1874 36,804 W.T.M. Torrens L 10,099",31,"tesseract"
"327","A. Lusk L 9,713",31,"tesseract"
"328","C.W. Randolph C 7,737",31,"tesseract"
"329","8. Lucraft L/ Lab 3,205",31,"tesseract"
"330","1880 44,955 Sir A. Lusk, St. L 16,128",31,"tesseract"
"331","W.T.M. Torrens L 15,247",31,"tesseract"
"332","F. Duncan C 12,800",31,"tesseract"
"333","Famous:-",31,"tesseract"
"334","1862: Withdrawn (Challis only)",31,"tesseract"
"335","1857: Withdrawn (Cox only)",31,"tesseract"
"336","8",31,"tesseract"
"337","C0 81C",31,"tesseract"
"338","Election Electors",32,"tesseract"
"339","1832 2,714",32,"tesseract"
"340","1835 2.516",32,"tesseract"
"341","1837 3,107",32,"tesseract"
"342","1641 3.81 1",32,"tesseract"
"343","[Appointment of Dundee as a Lord Commissioner of the Admiralty]",32,"tesseract"
"344","1846",32,"tesseract"
"345","(13/7)",32,"tesseract"
"346","1847 5,187",32,"tesseract"
"347","[Death of Bernard]",32,"tesseract"
"348","1851 6,022",32,"tesseract"
"349","(28/6)",32,"tesseract"
"350","GREENWICH [4]",32,"tesseract"
"351","(Two Seats)",32,"tesseract"
"352","Cantﬂdate",32,"tesseract"
"353","J.W.D. Dundas",32,"tesseract"
"354","E.G. Bernard",32,"tesseract"
"355","J. Angerstein",32,"tesseract"
"356","F.G. Hammond",32,"tesseract"
"357","J. Angerstein",32,"tesseract"
